-1	1.0	0.58181816	0.79090905	0.0	0.7118181
-1	1.0	0.58181816	0.79090905	0.0	0.7118181	1
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.24848485	0.17979798	0.015547263	0.1633729	0
0	0.11111111	0.42424244	0.26767677	0.026741294	0.24358322	0
0	0.11111111	0.3272727	0.21919191	0.015547263	0.19882745	0
0	0.11111111	0.33333334	0.22222222	0.0049751243	0.20049751	0
0	0.11111111	0.3272727	0.21919191	0.006840796	0.1979568	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.26666668	0.18888889	0.010572139	0.17105721	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.33333334	0.22222222	0.005597015	0.2005597	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.3090909	0.21010101	0.020522388	0.19114314	0
0	0.11111111	0.33333334	0.22222222	0.009328358	0.20093285	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.26666668	0.18888889	0.006840796	0.17068408	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.33333334	0.22222222	0.02300995	0.202301	0
0	0.11111111	0.3272727	0.21919191	0.013681592	0.19864088	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.021766169	0.2430857	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.3090909	0.21010101	0.009328358	0.19002375	0
0	0.11111111	0.42424244	0.26767677	0.03233831	0.24414292	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.021766169	0.2430857	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.3272727	0.21919191	0.016791046	0.19895183	0
0	0.11111111	0.27272728	0.1919192	0.04291045	0.17701831	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.33333334	0.22222222	0.005597015	0.2005597	0
0	0.11111111	0.3151515	0.21313131	0.012437811	0.19306196	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.33333334	0.22222222	0.009328358	0.20093285	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.27272728	0.1919192	0.005597015	0.17328697	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.42424244	0.26767677	0.008706467	0.24177973	0
0	0.11111111	0.33333334	0.22222222	0.005597015	0.2005597	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.33333334	0.22222222	0.02300995	0.202301	0
0	0.11111111	0.3151515	0.21313131	0.012437811	0.19306196	0
0	0.11111111	0.27272728	0.1919192	0.04291045	0.17701831	0
0	0.11111111	0.3272727	0.21919191	0.0043532336	0.19770804	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.018034825	0.24271257	0
0	0.11111111	0.3272727	0.21919191	0.015547263	0.19882745	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.3272727	0.21919191	0.021766169	0.19944933	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.3272727	0.21919191	0.006840796	0.1979568	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.24242425	0.17676768	0.01119403	0.16021031	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.42424244	0.26767677	0.014303482	0.24233943	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.3151515	0.21313131	0.014303482	0.19324853	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.33333334	0.22222222	0.0031094528	0.20031095	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.42424244	0.26767677	0.026741294	0.24358322	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.24848485	0.17979798	0.0012437811	0.16194256	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.33333334	0.22222222	0.02300995	0.202301	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.3272727	0.21919191	0.015547263	0.19882745	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.42424244	0.26767677	0.03233831	0.24414292	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.018034825	0.24271257	0
0	0.11111111	0.3272727	0.21919191	0.021766169	0.19944933	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.24242425	0.17676768	0.01119403	0.16021031	0
0	0.11111111	0.3151515	0.21313131	0.012437811	0.19306196	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.3272727	0.21919191	0.0049751243	0.19777022	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.27272728	0.1919192	0.04291045	0.17701831	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.3272727	0.21919191	0.016791046	0.19895183	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.03233831	0.24414292	0
0	0.11111111	0.42424244	0.26767677	0.021766169	0.2430857	0
0	0.11111111	0.3272727	0.21919191	0.006840796	0.1979568	0
0	0.11111111	0.27272728	0.1919192	0.04291045	0.17701831	0
0	0.11111111	0.42424244	0.26767677	0.03233831	0.24414292	0
0	0.11111111	0.27272728	0.1919192	0.04291045	0.17701831	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.3272727	0.21919191	0.013681592	0.19864088	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.27272728	0.1919192	0.009328358	0.17366011	0
0	0.11111111	0.33333334	0.22222222	0.005597015	0.2005597	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.33333334	0.22222222	0.02300995	0.202301	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.27272728	0.1919192	0.04291045	0.17701831	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.3272727	0.21919191	0.009328358	0.19820556	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.33333334	0.22222222	0.02300995	0.202301	0
0	0.11111111	0.3090909	0.21010101	0.009328358	0.19002375	0
0	0.11111111	0.33333334	0.22222222	0.0049751243	0.20049751	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.33333334	0.22222222	0.0037313432	0.20037314	0
0	0.11111111	0.3151515	0.21313131	0.014303482	0.19324853	0
0	0.11111111	0.24242425	0.17676768	0.030472636	0.16213816	0
0	0.11111111	0.3151515	0.21313131	0.026741294	0.19449231	0
0	0.11111111	0.3272727	0.21919191	0.04477612	0.20175032	0
0	0.11111111	0.42424244	0.26767677	0.06778607	0.2476877	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.03233831	0.24414292	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.3151515	0.21313131	0.012437811	0.19306196	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.42424244	0.26767677	0.06840796	0.24774988	0
0	0.11111111	0.33333334	0.22222222	0.005597015	0.2005597	0
0	0.11111111	0.42424244	0.26767677	0.1119403	0.25210312	0
0	0.11111111	0.3272727	0.21919191	0.024253732	0.19969809	0
0	0.11111111	0.42424244	0.26767677	0.021766169	0.2430857	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.42424244	0.26767677	0.052238807	0.24613297	0
0	0.11111111	0.42424244	0.26767677	0.026741294	0.24358322	0
0	0.11111111	0.26666668	0.18888889	0.010572139	0.17105721	0
0	0.11111111	0.33333334	0.22222222	0.041044775	0.20410448	0
0	0.11111111	0.3272727	0.21919191	0.013681592	0.19864088	0

