4	0.11177	0.145378	0.128574	0.943284	0.861813	5.176338015848497e+18
-1	-1	0.11177	0.147255	0.129513	0.941791	0.860563	4.862849658583515e+18
0	0	0.11177	0.144402	0.128086	0.943284	0.861764	5.163716172117443e+18
1	1	0.11177	0.141248	0.126509	0.943284	0.861606	5.123160685726925e+18
2	2	0.11177	0.141023	0.126396	0.932836	0.852192	3.199711877735121e+18
3	3	0.11177	0.143501	0.127635	0.943284	0.861719	5.152107528351384e+18
4	4	0.11177	0.145378	0.128574	0.943284	0.861813	5.176338015848497e+18
5	5	0.140012	0.137343	0.138678	0.923881	0.84536	2.2738569790111089e+18
6	6	0.140012	0.138244	0.139128	0.922388	0.844062	2.1309553768944108e+18
7	7	0.140012	0.142074	0.141043	0.934328	0.855	3.6820170513055744e+18
8	8	0.140012	0.142074	0.141043	0.931343	0.852313	3.2191905508548936e+18
9	8	0.14023	0.140572	0.140401	0.328358	0.309562	5273067.0
10	8	0.140012	0.151911	0.145962	0.780597	0.717133	3735560153726976.0
