-1	0.11177	0.145378	0.128574	0.943284	0.861813	5.176338015848497e+18
-1	-1	0.11177	0.145378	0.128574	0.943284	0.861813	5.176338015848497e+18
0	0	0.11177	0.139521	0.125646	0.934328	0.85346	3.409182311843889e+18
1	1	0.11177	0.139521	0.125646	0.932836	0.852117	3.187723627579572e+18
2	2	0.11177	0.139521	0.125646	0.931343	0.850773	2.9806509534530765e+18
3	3	0.11177	0.139521	0.125646	0.943284	0.86152	5.101085241020252e+18
4	4	0.11177	0.139521	0.125646	0.943284	0.86152	5.101085241020252e+18
5	5	0.11177	0.139521	0.125646	0.935821	0.854803	3.6460121686645146e+18
6	6	0.11177	0.139521	0.125646	0.935821	0.854803	3.6460121686645146e+18
7	7	0.11177	0.139521	0.125646	0.943284	0.86152	5.101085241020252e+18
8	8	0.11177	0.140047	0.125908	0.932836	0.852143	3.1919094683465155e+18
9	9	0.11177	0.140047	0.125908	0.943284	0.861546	5.107783465856664e+18
10	10	0.11177	0.140047	0.125908	0.943284	0.861546	5.107783465856664e+18
11	11	0.11177	0.136442	0.124106	0.934328	0.853306	3.3830518682539786e+18
12	12	0.11177	0.141323	0.126547	0.941791	0.860267	4.791276399417623e+18
13	13	0.11177	0.141323	0.126547	0.941791	0.860267	4.791276399417623e+18
