-1	1.0	0.98746	0.99373	0.156716	0.910028	5.7678889055361696e+19
-1	-1	1.0	0.98746	0.99373	0.156716	0.910028	5.7678889055361696e+19
0	0	1.0	0.986559	0.993279	0.156716	0.909623	5.652121766052286e+19
1	1	1.0	0.986108	0.993054	0.156716	0.90942	5.595123083268378e+19
2	2	1.0	0.986108	0.993054	0.156716	0.90942	5.595123083268378e+19
3	3	1.0	0.986634	0.993317	0.156716	0.909657	5.661659809520917e+19
4	4	1.0	0.986108	0.993054	0.156716	0.90942	5.595123083268378e+19
5	5	1.0	0.985657	0.992829	0.156716	0.909217	5.538678114540218e+19
6	6	1.0	0.985207	0.992603	0.156716	0.909015	5.482823803458499e+19
7	7	1.0	0.985732	0.992866	0.156716	0.909251	5.5480459536088695e+19
8	8	1.0	0.985432	0.992716	0.156716	0.909116	5.510669595138903e+19
9	9	1.0	0.984756	0.992378	0.156716	0.908812	5.4275117715116e+19
10	10	1.0	0.984756	0.992378	0.156716	0.908812	5.4275117715116e+19
